"bu_code","bu_naam","parkeren_pct","auto_pct","voet_pct","fiets_pct"
"BU00140601","Coendersborg",0.06,0.46,0.45,0.03
"BU04410408","Sint Maartensvlotbrug",0.11,0.70,0.13,0.05
"BU00140508","Winschoterdiep",0.06,0.73,0.11,0.09
"BU00140509","Stainkoel'n",0.01,0.85,0.01,0.13
"BU00140900","Vinkhuizen-Noord",0.11,0.44,0.40,0.05
"BU00140602","Klein Martijn",0.03,0.63,0.23,0.11
"BU00140809","Bangeweer",0.02,0.60,0.12,0.26
"BU00140510","Roodehaan",0.00,0.94,0.02,0.04
"BU00140511","Waterhuizen",NULL,NULL,NULL,NULL
"BU00140600","Sterrebosbuurt",0.08,0.53,0.24,0.15
"BU16900809","Ruinen",0.00,0.88,0.02,0.10
"BU00140902","Hoendiep",0.07,0.72,0.16,0.05
"BU00140603","Villabuurt",0.01,0.54,0.38,0.07
"BU00140604","Helpman",0.07,0.50,0.42,0.02
"BU00140605","De Wijert",0.07,0.46,0.43,0.03
"BU00141001","Paddepoel-Zuid",0.11,0.42,0.39,0.07
"BU00140606","De Wijert-Zuid",0.08,0.61,0.25,0.05
"BU00141002","Paddepoel-Noord",0.11,0.45,0.38,0.06
"BU00140700","Corpus den Hoorn",0.11,0.50,0.31,0.08
"BU00140810","De Buitenhof",0.04,0.63,0.27,0.06
"BU00140701","Hoornse Meer",0.11,0.43,0.36,0.10
"BU00140702","Hoornse Park",0.00,0.64,0.29,0.07
"BU00141211","Ruischerwaard",0.11,0.47,0.28,0.14
"BU00340213","Muziekwijk Zuid",0.15,0.41,0.36,0.08
"BU00340214","Literatuurwijk",0.14,0.48,0.34,0.04
"BU00140903","Friesestraatweg",0.01,0.75,0.21,0.03
"BU00140802","Westpoort",0.00,0.88,0.03,0.09
"BU00240203","Toornwerd",0.02,0.74,0.24,0.00
"BU00140804","Zuidwending",0.00,0.94,0.01,0.05
"BU00240209","Middelstum",0.01,0.84,0.12,0.03
"BU00140904","Reitdiep",0.08,0.66,0.20,0.06
"BU00141206","Zilvermeer",0.00,0.59,0.23,0.19
"BU00140704","Piccardthof",0.01,0.81,0.10,0.09
"BU00140705","Bruilweering",0.05,0.83,0.01,0.11
"BU00140901","Vinkhuizen-Zuid",0.12,0.42,0.41,0.05
"BU00140800","Hoogkerk Dorp",0.06,0.63,0.27,0.04
"BU17350207","Stokkum",0.01,0.87,0.03,0.09
