bu_naam;parkeren_pct;auto_pct;voet_pct;fiets_pct
Harkstede GN;0.02;0.70;0.02;0.25
Zeerijp;0.09;0.67;0.23;0.00
Het Peebos;0.00;1.00;0.00;0.00
Lageland GN;0.00;0.91;0.00;0.09
Doezum;0.10;0.56;0.25;0.09
Noordlaren;0.01;0.81;0.07;0.11
Overig Almere Buiten;0.02;0.85;0.04;0.10
Beuningen-Beuningse Plas;0.07;0.61;0.28;0.05
Lutjegast;0.04;0.69;0.24;0.03
Lutjegast;0.00;0.85;0.00;0.15
Europakwartier;0.15;0.49;0.30;0.06
Opende-Oost;0.03;0.77;0.00;0.20
ten zuiden van Sebaldeburen;0.01;0.95;0.03;0.01
Opende-West;0.09;0.66;0.16;0.09
Adorp;0.03;0.60;0.29;0.08
Hoogbouw-Zuid;0.12;0.53;0.28;0.07
Kornhorn;0.08;0.66;0.24;0.02
ten zuiden van Opende;0.09;0.85;0.02;0.04
Niekerk;0.10;0.60;0.26;0.03
Columbuskwartier;0.15;0.34;0.38;0.13
Eemmeer-Eemnes;0.00;0.78;0.22;0.00
Haren;0.07;0.63;0.25;0.05
Oosterhaar;0.11;0.57;0.30;0.02
Voorveld;0.04;0.69;0.08;0.19
De Haspel;0.02;0.87;0.03;0.07
Ewijk-Centrum;0.08;0.50;0.39;0.04
ten zuiden van Grootegast;0.01;0.96;0.00;0.03
Harenermolen;0.01;0.81;0.04;0.14
Onnen;0.04;0.78;0.11;0.07
Buitengebied ten zuiden van Leek;0.03;0.63;0.28;0.06
Bebouwde kom Zevenhuizen;0.12;0.58;0.27;0.03
Diepswal;0.01;0.81;0.12;0.06
Rodenburg en omgeving;0.10;0.63;0.24;0.03
Onner Esch;0.02;0.85;0.01;0.13
Glimmen;0.05;0.67;0.18;0.10
Hemmen;0.11;0.62;0.18;0.09
Leermens;0.09;0.79;0.12;0.00
Paterswolde (gedeeltelijk);0.24;0.49;0.13;0.14
Roswinkel-Centrum;0.11;0.67;0.22;0.00
Nienoordsrand;0.02;0.80;0.17;0.01
Overdie-West;0.10;0.50;0.36;0.05
Essen;0.00;0.96;0.01;0.03
ten westen van Noord-Willemskanaal;0.12;0.56;0.12;0.20
ten oosten van de Hondsrug;0.00;0.87;0.02;0.11
De Tuinen;0.14;0.37;0.44;0.05
op de Hondsrug;0.00;0.81;0.01;0.18
Midden;0.11;0.59;0.27;0.02
Centrum Leek en omgeving;0.10;0.63;0.23;0.04
Buitengebied ten noorden van Zevenhuizen;0.00;0.83;0.05;0.12
